==== 全部 ====
6. 《维京：冰海霸主》 - https://www.qidian.com/book/1043935874/
7. 《家父汉高祖》 - https://www.qidian.com/book/1032822816/
8. 《为变法，我视死如归》 - https://www.qidian.com/book/1044856622/
9. 《开荒：逍遥山农》 - https://www.qidian.com/book/1045279139/
10. 《我要当大官》 - https://www.qidian.com/book/1044842648/

==== 游戏 ====
1. 《CS：才16岁，让我老登逆袭？》 - https://www.qidian.com/book/1041695758/
2. 《诸神乐园》 - https://www.qidian.com/book/1045687667/
3. 《说好摆烂拍电影，年度游戏什么鬼》 - https://www.qidian.com/book/1045109595/
4. 《三角洲：这个主播太CS》 - https://www.qidian.com/book/1044693885/
5. 《纵横游戏世界，从拉满被动技开始》 - https://www.qidian.com/book/1042062518/
6. 《LOL：我又没退役，只是没人要》 - https://www.qidian.com/book/1043821374/
7. 《三国冰气时代》 - https://www.qidian.com/book/1045252936/
8. 《LOL：当你将一切做到极致》 - https://www.qidian.com/book/1039339009/
9. 《梦幻西游之超级储备金系统》 - https://www.qidian.com/book/1044975817/
10. 《魔兽：艾泽拉斯圣光大主教》 - https://www.qidian.com/book/1041534078/
11. 《穿成艾泽拉斯：我能召唤第四天灾》 - https://www.qidian.com/book/1044284519/
12. 《战锤40K：我即是浪潮》 - https://www.qidian.com/book/1045092191/
13. 《你的游戏为何有历史感》 - https://www.qidian.com/book/1043862534/

==== 体育 ====
1. 《重燃球星梦》 - https://www.qidian.com/book/1041698169/
2. 《篮坛天工：开局执教答案》 - https://www.qidian.com/book/1043435464/
3. 《灌篮之木暮》 - https://www.qidian.com/book/1041974007/
4. 《篮球：系统早来12年》 - https://www.qidian.com/book/1044609454/
5. 《没钱搞什么足球俱乐部！》 - https://www.qidian.com/book/1045193877/
6. 《足球：从概念神开始无敌》 - https://www.qidian.com/book/1045799611/
7. 《开局破产，我靠系统养成马王》 - https://www.qidian.com/book/1044644994/
8. 《足球：球王从贝氏弧线开始！》 - https://www.qidian.com/book/1043798026/
9. 《NBA：联盟头号名场面创造者》 - https://www.qidian.com/book/1043794653/
10. 《超级经纪人：从签下内马尔开始》 - https://www.qidian.com/book/1044571550/
11. 《制霸超级碗》 - https://www.qidian.com/book/1038476669/
12. 《我真是空间型内线》 - https://www.qidian.com/book/1045610747/
13. 《NBA：从球星情报系统开始！》 - https://www.qidian.com/book/1045007443/
14. 《足球：上帝视角，我是球场指挥官》 - https://www.qidian.com/book/1045203698/
15. 《开局只想提桶跑路，被迫拯救曼联》 - https://www.qidian.com/book/1044383592/
16. 《NBA：联手小卡，组建冰火双核》 - https://www.qidian.com/book/1043537760/
17. 《NBA：从3D开始成为篮球之神》 - https://www.qidian.com/book/1045383622/
18. 《NBA之开局融合巅峰约基奇》 - https://www.qidian.com/book/1045469010/
19. 《让你玩消消乐，却带国足进世界杯》 - https://www.qidian.com/book/1044746496/
20. 《禁区之狐》 - https://www.qidian.com/book/1017653178/
21. 《足球：从上海东亚中锋开始》 - https://www.qidian.com/book/1045684947/
22. 《穿越NBA：03科比竟是我情敌》 - https://www.qidian.com/book/1045753657/

==== 科幻 ====
1. 《我的梦境联通三千年后》 - https://www.qidian.com/book/1043692368/
2. 《战锤：黄金遗裔》 - https://www.qidian.com/book/1045591978/
3. 《我把修仙文明上交给了国家》 - https://www.qidian.com/book/1045628378/
4. 《我被困在方块之中》 - https://www.qidian.com/book/1038393977/
5. 《1981军工模拟器》 - https://www.qidian.com/book/1045209812/
6. 《带着微观生态箱到末世》 - https://www.qidian.com/book/1044411082/
7. 《虫族：星河主宰》 - https://www.qidian.com/book/1042388068/
8. 《深空之影》 - https://www.qidian.com/book/1040855767/
9. 《从流浪地球开始打造人类帝国》 - https://www.qidian.com/book/1040780072/
10. 《赛博朋克：夜之城的寰宇巨企》 - https://www.qidian.com/book/1045196036/
11. 《人在现实，我有一个游戏世界》 - https://www.qidian.com/book/1045632057/
12. 《末世半岛：我的丧尸女友》 - https://www.qidian.com/book/1040200090/
13. 《玩家们的废土宇宙》 - https://www.qidian.com/book/1043990855/
14. 《末日这种事当然是要上报啦》 - https://www.qidian.com/book/1045549059/
15. 《让你开五金店，军方都来进货了！》 - https://www.qidian.com/book/1045288281/
16. 《我能看到末日》 - https://www.qidian.com/book/1042872213/
17. 《我打造了无敌舰队》 - https://www.qidian.com/book/1038306380/
18. 《末日孤舰：我打造055大驱》 - https://www.qidian.com/book/1045657463/

==== 悬疑 ====
1. 《全球诡异：啊？开局我是鬼？》 - https://www.qidian.com/book/1044359267/
2. 《傩面之下》 - https://www.qidian.com/book/1043923309/
3. 《神秘复苏：我有一个八卦镜》 - https://www.qidian.com/book/1045213811/
4. 《神秘复苏：鬼音荡世》 - https://www.qidian.com/book/1044833338/
5. 《模拟人生，我的鬼杀不死》 - https://www.qidian.com/book/1043608143/
6. 《发丘诡冢录》 - https://www.qidian.com/book/1045343311/
7. 《我掀起了恐怖复苏》 - https://www.qidian.com/book/1045788356/
8. 《拥有预知能力的我成为救世主》 - https://www.qidian.com/book/1045758987/
9. 《九叔：师叔祖，求您别再整活了》 - https://www.qidian.com/book/1045173673/
10. 《签下血字租约，我成了万物的终主》 - https://www.qidian.com/book/1045489693/
11. 《穿成反派枭雄，开局强娶岳绮罗》 - https://www.qidian.com/book/1045813360/
12. 《邪神阁下，您变强全靠抽卡吗？》 - https://www.qidian.com/book/1044008878/
13. 《卸岭镇龙记》 - https://www.qidian.com/book/1043427696/
14. 《神秘让我强大》 - https://www.qidian.com/book/1018023786/
15. 《我的鬼故事成真了》 - https://www.qidian.com/book/1044538759/
16. 《宿舍求生：我每局一个新天赋》 - https://www.qidian.com/book/1045261097/
17. 《我在神秘复苏开饭店》 - https://www.qidian.com/book/1038271408/
18. 《开局继承戏班，你让我给鬼神唱戏》 - https://www.qidian.com/book/1045469656/
19. 《听说我是盗墓贼》 - https://www.qidian.com/book/1032586934/
20. 《国运游戏：妖女，我要你助我修行》 - https://www.qidian.com/book/1045936367/
21. 《黎明医生》 - https://www.qidian.com/book/1015102783/
22. 《诡异复苏，我的兄弟成了大凶》 - https://www.qidian.com/book/1045625403/

==== 轻小说 ====
1. 《牧者密续》 - https://www.qidian.com/book/1037095853/
2. 《东京病恋女友》 - https://www.qidian.com/book/1045623528/
3. 《斗罗绝世：只会炸环的我全是操作》 - https://www.qidian.com/book/1045289715/
4. 《斗罗：龙王之太极玄真》 - https://www.qidian.com/book/1041467209/
5. 《教小火龙焚决的抽象训练家》 - https://www.qidian.com/book/1044846193/
6. 《来自末日》 - https://www.qidian.com/book/1039077063/
7. 《全职猎人：无限成长》 - https://www.qidian.com/book/1041783511/
8. 《精灵：同时穿越，这个小智太全能》 - https://www.qidian.com/book/1045277344/
9. 《玩家们的NPC大爹》 - https://www.qidian.com/book/1038949630/
10. 《别打扰邪术师搞科研》 - https://www.qidian.com/book/1045042324/
11. 《吸血鬼与奶茶与文娱入侵》 - https://www.qidian.com/book/1044827806/
12. 《史莱姆真仙》 - https://www.qidian.com/book/1038802681/
13. 《战锤：我的生物爹帝皇和半神弟弟》 - https://www.qidian.com/book/1043584769/
14. 《凌晨三点，车站前的地雷系》 - https://www.qidian.com/book/1044396831/
15. 《霍格沃茨的混子教授》 - https://www.qidian.com/book/1043763747/

