==== 赛博与废土 ====
1. 《苟在初圣魔门当人材》 - https://www.qidian.com/book/1043182343/
2. 《夜无疆》 - https://www.qidian.com/book/1040765595/
3. 《青山》 - https://www.qidian.com/book/1033014772/
4. 《诡秘之主》 - https://www.qidian.com/book/1010868264/
5. 《鸣龙》 - https://www.qidian.com/book/1039457453/
6. 《元始法则》 - https://www.qidian.com/book/1042108416/
7. 《从水猴子开始成神》 - https://www.qidian.com/book/1037570737/
8. 《苟在武道世界成圣》 - https://www.qidian.com/book/1045003390/
9. 《天人图谱》 - https://www.qidian.com/book/1037676014/
10. 《大道之上》 - https://www.qidian.com/book/1039994731/
11. 《亡灵法师，召唤055什么鬼？》 - https://www.qidian.com/book/1045018157/
12. 《龙藏》 - https://www.qidian.com/book/1038996214/
13. 《宿命之环》 - https://www.qidian.com/book/1036370336/
14. 《真君驾到》 - https://www.qidian.com/book/1044839471/
15. 《长夜君主》 - https://www.qidian.com/book/1037414980/
16. 《神农道君》 - https://www.qidian.com/book/1039640376/
17. 《食仙主》 - https://www.qidian.com/book/1032634963/
18. 《历史病了》 - https://www.qidian.com/book/1044399093/
19. 《太虚至尊》 - https://www.qidian.com/book/1038440253/
20. 《高武纪元》 - https://www.qidian.com/book/1039141715/
21. 《旧域怪诞》 - https://www.qidian.com/book/1045191725/
22. 《隐秘买家》 - https://www.qidian.com/book/1045583754/
23. 《天命皆烬》 - https://www.qidian.com/book/1039028902/
24. 《大乾武圣！》 - https://www.qidian.com/book/1039084315/
25. 《巫师：从合成宝石开始》 - https://www.qidian.com/book/1043196323/
26. 《星武纪元》 - https://www.qidian.com/book/1040259451/
27. 《万相之王》 - https://www.qidian.com/book/1027368101/
28. 《这个武圣血条太厚》 - https://www.qidian.com/book/1039918657/
29. 《我！清理员！》 - https://www.qidian.com/book/1036211225/
30. 《夫人请住手》 - https://www.qidian.com/book/1043498806/
31. 《长青仙尊》 - https://www.qidian.com/book/1041901254/
32. 《祭祀百年，我成了部落先祖》 - https://www.qidian.com/book/1044642569/
33. 《从斩妖除魔开始长生不死》 - https://www.qidian.com/book/1038307656/
34. 《有诡》 - https://www.qidian.com/book/1042628462/
35. 《旧神之巅》 - https://www.qidian.com/book/1039995415/
36. 《巫师：我的职业面板没有上限》 - https://www.qidian.com/book/1043605775/
37. 《普罗之主》 - https://www.qidian.com/book/1038229163/
38. 《国术：一天涨一年功力！》 - https://www.qidian.com/book/1044964632/
39. 《至圣先师他太稳重了》 - https://www.qidian.com/book/1045335204/
40. 《说好当闲散赘婿，你陆地神仙？》 - https://www.qidian.com/book/1044482577/
41. 《万世之名》 - https://www.qidian.com/book/1038367936/
42. 《我略微出手，就是系统的极限》 - https://www.qidian.com/book/1044581232/
43. 《高武：肝成宇宙之主》 - https://www.qidian.com/book/1045207059/
44. 《从文明晋升考核开始装天才》 - https://www.qidian.com/book/1045849540/
45. 《民俗从傩戏班子开始》 - https://www.qidian.com/book/1045776509/
46. 《我来教你们修仙》 - https://www.qidian.com/book/1044084610/
47. 《从栽下菩提树开始成神》 - https://www.qidian.com/book/1040794052/
48. 《神祇》 - https://www.qidian.com/book/1043497779/
49. 《人族镇守使》 - https://www.qidian.com/book/1026225232/
50. 《斗破之魂族妖女》 - https://www.qidian.com/book/1040989155/
51. 《道诡异仙》 - https://www.qidian.com/book/1031794030/
52. 《机甲大战正酣，你说你已成仙帝？》 - https://www.qidian.com/book/1044648280/
53. 《大周文圣》 - https://www.qidian.com/book/1043081814/
54. 《无尽寒冬：我的营地无限升级》 - https://www.qidian.com/book/1041747843/
55. 《从五禽拳开始肉身成圣》 - https://www.qidian.com/book/1039338747/
56. 《人间太岁神！》 - https://www.qidian.com/book/1035676337/
57. 《天榜》 - https://www.qidian.com/book/1044204199/
58. 《我的职业太有个性》 - https://www.qidian.com/book/1046089305/
59. 《末法时代的长生武圣》 - https://www.qidian.com/book/1044261524/
60. 《武道登神》 - https://www.qidian.com/book/1042245167/
61. 《掌门师伯新收了个女徒弟》 - https://www.qidian.com/book/1041753908/
62. 《纯阳！》 - https://www.qidian.com/book/1040682764/
63. 《晦朔光年》 - https://www.qidian.com/book/1043462065/
64. 《未来，地球成了神话时代遗迹》 - https://www.qidian.com/book/1044215440/
65. 《锦衣无双》 - https://www.qidian.com/book/1045071674/
66. 《古代末世的文弱书生》 - https://www.qidian.com/book/1043202112/
67. 《守序暴君》 - https://www.qidian.com/book/1041712048/
68. 《法师之上！》 - https://www.qidian.com/book/1040247886/
69. 《万般特质加身，我终将成为不朽》 - https://www.qidian.com/book/1043019445/
70. 《两界高武：收束诸天成大罗》 - https://www.qidian.com/book/1044847891/
71. 《道爷要飞升》 - https://www.qidian.com/book/1037991205/
72. 《高武：从武道生到宇宙天尊》 - https://www.qidian.com/book/1039751366/
73. 《神话绘卷师：开局财神赵公明》 - https://www.qidian.com/book/1045149691/
74. 《宠神》 - https://www.qidian.com/book/1043178510/
75. 《我咋就天下无敌了》 - https://www.qidian.com/book/1045819148/
76. 《诸天领主》 - https://www.qidian.com/book/1046260880/
77. 《我有无限死士，暴兵横推诸天》 - https://www.qidian.com/book/1045657767/
78. 《寒门崛起：我的武道逆袭生涯》 - https://www.qidian.com/book/1042706859/
79. 《在天魔世界的摆烂生活》 - https://www.qidian.com/book/1045435367/
80. 《恶徒》 - https://www.qidian.com/book/1046237903/
81. 《道君，从蓬莱筑基开始》 - https://www.qidian.com/book/1038586302/
82. 《我的天道版本太低，所以全是漏洞》 - https://www.qidian.com/book/1043444238/
83. 《修行从简化功法开始》 - https://www.qidian.com/book/1034284970/
84. 《我的梦境可以捡到至宝》 - https://www.qidian.com/book/1040485671/
85. 《高武：我继承了游戏里的邪恶组织》 - https://www.qidian.com/book/1041174910/
86. 《一世之尊》 - https://www.qidian.com/book/3249362/
87. 《百肝成帝：从杂役开始！》 - https://www.qidian.com/book/1044284178/
88. 《道起五脏观：我在九十年代当天师》 - https://www.qidian.com/book/1045400385/
89. 《八道横行》 - https://www.qidian.com/book/1043800607/
90. 《我在上古做天帝》 - https://www.qidian.com/book/1045391174/
91. 《神诡制卡师：开局百鬼夜行》 - https://www.qidian.com/book/1044115026/
92. 《我于人间证不朽》 - https://www.qidian.com/book/1045076554/
93. 《我只会虐菜啊》 - https://www.qidian.com/book/1044558122/
94. 《从武馆弟子开始百炼成神》 - https://www.qidian.com/book/1042697290/
95. 《人间如狱，我肉身成圣》 - https://www.qidian.com/book/1043056943/
96. 《镜主》 - https://www.qidian.com/book/1045336850/
97. 《瘤剑仙》 - https://www.qidian.com/book/1044383477/
98. 《人道大圣》 - https://www.qidian.com/book/1030665314/
99. 《人在遮天，抽卡成帝》 - https://www.qidian.com/book/1044347930/
100. 《我的功法都太有主见了》 - https://www.qidian.com/book/1045255629/
101. 《登神》 - https://www.qidian.com/book/1043112448/
102. 《每天去梦里雇佣小怪物》 - https://www.qidian.com/book/1045914182/
103. 《极道暴君！》 - https://www.qidian.com/book/1041744562/
104. 《狩神纪元》 - https://www.qidian.com/book/1046172167/
105. 《神话职业者都是我员工》 - https://www.qidian.com/book/1044773646/
106. 《大明：从战场捡属性开创诸天大明》 - https://www.qidian.com/book/1042838558/
107. 《我在诡夜斩神魔》 - https://www.qidian.com/book/1039422794/
108. 《祥子修仙记》 - https://www.qidian.com/book/1045338276/
109. 《百无禁忌》 - https://www.qidian.com/book/1042263958/
110. 《人在高武，言出法随》 - https://www.qidian.com/book/1044235789/
111. 《王妃，请自重》 - https://www.qidian.com/book/1045550807/
112. 《我有一身被动技》 - https://www.qidian.com/book/1020152464/

==== 奇幻 ====
1. 《这个地下城长蘑菇了》 - https://www.qidian.com/book/1044050715/
2. 《哥布林重度依赖》 - https://www.qidian.com/book/1042786143/
3. 《大不列颠之影》 - https://www.qidian.com/book/1037013306/
4. 《绝夜之旅》 - https://www.qidian.com/book/1041632376/
5. 《超魔术士：开局魔网又崩了》 - https://www.qidian.com/book/1045343096/
6. 《万国之国》 - https://www.qidian.com/book/1030618670/
7. 《圣女来时不纳粮》 - https://www.qidian.com/book/1038971641/
8. 《战锤：以涅槃之名》 - https://www.qidian.com/book/1035859405/
9. 《修仙的我却来到了巫师世界》 - https://www.qidian.com/book/1044603424/
10. 《诡秘：善魔女》 - https://www.qidian.com/book/1036800866/
11. 《幽魂骑士王的地下城工程》 - https://www.qidian.com/book/1046000930/
12. 《狗头人的巫师日志》 - https://www.qidian.com/book/1043807613/
13. 《矢车菊魔女》 - https://www.qidian.com/book/1046166626/
14. 《千面之龙》 - https://www.qidian.com/book/1043761210/
15. 《诡秘：最后一个牧羊人》 - https://www.qidian.com/book/1043433916/
16. 《谁把遗言落这了？》 - https://www.qidian.com/book/1045525701/
17. 《蒸汽世界的鼠先生》 - https://www.qidian.com/book/1045346552/
18. 《克拉夫特异态学笔记》 - https://www.qidian.com/book/1034284068/
19. 《吟游诗人又幻想了》 - https://www.qidian.com/book/1045193869/
20. 《生活不易，红龙卖艺？》 - https://www.qidian.com/book/1045939992/
21. 《阿兹特克的永生者》 - https://www.qidian.com/book/1023471051/
22. 《钢铁火药和施法者》 - https://www.qidian.com/book/1021263756/
23. 《希腊：我就是宙斯！》 - https://www.qidian.com/book/1044836690/
24. 《一心退休的我却成了帝国上将》 - https://www.qidian.com/book/1043735998/
25. 《战锤：恐虐是我的神选》 - https://www.qidian.com/book/1046035168/
26. 《帝皇的告死天使》 - https://www.qidian.com/book/1022746073/
27. 《从加点开始无限进化》 - https://www.qidian.com/book/1045059414/
28. 《我的设定在你之上！》 - https://www.qidian.com/book/1045339766/
29. 《天启预报》 - https://www.qidian.com/book/1014180485/
30. 《凛冬领主：从每日情报开始》 - https://www.qidian.com/book/1043859598/
31. 《我，落难王子，打钱》 - https://www.qidian.com/book/1042938021/
32. 《黑帆》 - https://www.qidian.com/book/1037526139/
33. 《工业克苏鲁，从海岛领主开始》 - https://www.qidian.com/book/1042804894/
34. 《光明之路》 - https://www.qidian.com/book/1036945603/
35. 《龙与美食与地下城》 - https://www.qidian.com/book/1045267714/
36. 《词条种田：从北荒领主到帝皇》 - https://www.qidian.com/book/1043441359/
37. 《巨龙领主：从每日情报开始》 - https://www.qidian.com/book/1044332070/
38. 《致异世界》 - https://www.qidian.com/book/1036307268/
39. 《战锤40K：毁灭战士》 - https://www.qidian.com/book/1037850121/
40. 《福尔摩斯在霍格沃茨》 - https://www.qidian.com/book/1042687729/
41. 《北境王权》 - https://www.qidian.com/book/1040047275/
